    3366  ! number of record (species) in the file
GAN500A   359.99
GPN500O   418.33
GNN600D   351.14
GAN600X   355.59
GPH601Z   339.44
GHN600N   331.73
GHN5003   261.96
GHH5009   269.02
GHN600D   266.07
GGH600C   276.70
GPH600f   335.76
GHN500D   286.42
GAH500Z   293.48
GGH500j   299.70
GPH500b   370.59
GNN4006   354.30
GHN400A   274.94
GND600Z   259.56
GND600J   251.86
GGN600E   266.07
GND4002   298.20
GAN4000   310.18
GGN4000   320.32
GPN4000   411.16
GNN500P   353.77
GHN500B   286.42
GND600M   281.01
GAN6006   287.53
GGN6003   293.17
GPN6003   355.59
GND500F   308.92
GND3001   351.93
GNV3003   477.66
GAN3001   366.95
GGN3001   379.66
GPN3001   498.37
GEN4002   367.50
GNN500D   359.99
GNN500U   413.73
GHN500k   365.55
GHN600Y   359.62
GHN500J   293.48
GHH500u   299.70
GGH600l   302.60
GHN500S   324.11
GAH500e   330.33
GGH500n   335.90
GPH5017   410.25
GND4006   357.37
GPN400J   474.94
GHN5013   324.11
GGN600k   325.02
GPN600P   390.37
GND500K   358.07
GHH400Y   329.09
GHN4007   310.18
GNU4003   283.53
GEH3004   260.81
GHH300H   324.52
GHH300S   272.42
GHH400g   286.41
GHN500P   269.02
GHH501D   288.08
GHN500N   338.35
GHH5012   275.24
GHH500F   289.37
GAH500M   300.01
GPH500K   310.30
GHD4007   260.40
GPH400E   336.84
GHN500O   293.48
GHH300I   335.52
GHH500z   343.39
GPH601J   380.85
GHN400F   320.32
GEH4009   289.05
GGH6012   310.14
GHH400R   308.52
GHH5011   280.80
GGH500Z   317.80
GPH500r   314.89
GHH4007   275.93
GAH400A   289.05
GGH400D   300.43
GPH400J   343.76
GHH501L   299.70
GHO3002   235.04
GHN3002   311.81
GHH3000   255.61
GHD600P   265.89
GHH500N   269.02
GHN6007   266.07
GPH600Y   335.76
GHN500C   286.42
GPH500j   370.59
GHH500A   288.08
GGH600D   301.27
GPH600I   281.15
GPH500Q   305.26
GHH4008   257.75
GHD600T   265.89
GHD6009   249.10
GAH500Q   262.54
GHD4002   241.40
GAH4001   260.40
GGH4001   275.93
GPH4000   329.09
GHH600Q   291.79
GPH601Q   306.63
GHH500J   277.08
GHD600K   266.46
GAH600G   280.18
GGH600L   291.79
GPH600Q   298.15
GHD500H   264.11
GHD3001   240.24
GAH3001   260.81
GGH3001   277.62
GPH3001   390.66
GHH400f   289.05
GHH600f   302.60
GHH500v   300.01
GHH500j   290.94
GAH500f   301.58
GPH501Z   340.93
GHD4009   263.81
GPH400d   384.02
GHH400Z   289.05
GOO2000   163.06
GNO2000   337.54
GHO2000   204.45
GNV3000   398.51
GHV3002   296.79
GVO3000   278.40
GOO3003   208.52
GNO3004   296.79
GHO3003   235.04
GED4001   241.40
GHO4003   257.75
GOO5003   243.47
GNO5005   253.82
GHO5003   261.26
GDO6004   249.10
GDO5004   244.75
GAO5001   262.54
GGO5001   277.08
GPO5001   293.48
GNO5007   253.82
GNN5004   326.57
GND600U   259.56
GND5004   278.28
GPN5003   365.55
GHN5005   261.96
GHD600O   265.89
GAH600I   279.62
GHD5004   262.54
GAH5001   277.08
GGH5001   289.37
GPH5003   299.70
GOO4000   214.25
GNO4000   262.95
GHO4000   238.75
GOO5002   220.54
GNO5004   244.19
GDO6002   227.44
GGO6003   265.89
GDO5002   221.82
GAO5000   244.75
GGO5000   262.54
GPO5000   286.42
GDO4001   216.90
GAO4001   241.40
GGO4001   260.40
GPO4002   320.32
GNK5002   278.28
GDK6009   249.66
GDK5001   246.33
GAK5000   264.11
GGK5000   278.65
GPK5000   324.11
GHN3006   311.81
GEN4000   310.18
GHN400C   285.07
GND600L   259.56
GHN400D   370.82
GNN6006   322.30
GPN500E   418.33
GHH500P   269.02
GHN600C   266.07
GGH500T   299.70
GPH500a   370.59
GND600H   251.86
GAN500G   278.28
GND4001   298.20
GGN4004   320.32
GPN4004   411.16
GNN500H   353.77
GHN500M   286.42
GND600K   281.01
GGN600D   293.17
GPN600H   355.59
GPN500k   400.62
GEH4001   260.40
GHH400A   273.28
GHH600R   291.22
GHD600B   265.89
GGH600O   291.22
GPH600i   276.70
GGH500E   289.37
GPH500D   299.70
GHD600i   280.18
GHH400B   293.85
GHN6003   266.07
GGH500l   299.70
GPH500B   370.59
GHH600P   291.22
GHH600N   276.70
GHH600O   301.27
GHH500o   269.02
GHH500D   288.08
GHH6003   279.62
GPH600J   281.15
GHH500K   277.08
GAH500G   289.37
GGH500D   300.01
GPH500C   305.26
GHO5004   243.47
GHH500R   261.26
GHD6007   249.10
GPH600j   271.72
GHD4001   241.40
GHK5005   262.54
GHN500b   286.42
GHH501A   277.08
GHD600A   266.46
GGH500X   290.94
GPH500p   330.33
GOO3000   171.15
GNO3000   278.40
GHO3000   208.52
GDO6006   249.10
GND600W   259.56
GHD600Q   265.89
GOO5000   220.54
GNO5003   244.19
GHO5002   243.47
GDO6001   227.44
GAO6000   249.10
GGO6000   265.89
GPO6000   266.07
GDO5001   221.82
GDK600B   249.66
GND600D   259.56
GNN6001   322.30
GHN6008   266.07
GPH600g   335.76
GNO5000   244.19
GNN5000   319.51
GHN5002   253.82
GND6001   251.86
GAN6000   259.56
GGN6000   266.07
GPN6000   327.28
GND5001   268.65
GPN5005   359.99
GND600C   281.01
GHD600D   265.89
GHN6004   266.07
GHH6004   279.62
GAH6005   291.22
GGH6005   301.27
GPH600U   281.15
GHO5000   243.47
GHN5000   253.82
GHH5000   261.26
GHD6001   249.10
GAH6000   265.89
GGH6000   279.62
GPH6000   271.72
GHD5001   244.75
GGH5004   277.08
GPH5006   293.48
GHD600C   266.46
GOO4001   179.72
GNO4001   248.28
GHO4001   214.25
GDO6007   227.44
GND600X   251.86
GHD600R   249.10
GOO5001   188.21
GNO5002   232.41
GHO5001   220.54
GDO6000   196.92
GAO6001   227.44
GGO6001   249.10
GPO6001   259.56
GDO5000   189.50
GAO5002   221.82
GGO5002   244.75
GPO5002   278.28
GDK600C   228.01
GDO4000   182.37
GAO4000   216.90
GGO4000   241.40
GPO4000   310.18
GDK6008   249.66
GND600S   281.01
GHD600L   266.46
GGH600N   291.79
GPH600h   298.15
GKO5000   221.82
GNK5001   268.65
GHK5000   244.75
GDK6000   228.01
GAK6000   249.66
GGK6000   266.46
GPK6000   287.53
GDK5000   223.39
GAK5001   246.33
GGK5001   264.11
GPK5001   317.06
GDK6007   250.35
GPK6005   320.04
GDO3000   176.35
GVK3000   333.54
GAO3000   213.73
GGO3000   240.24
GPO3000   366.95
GED4000   244.81
GHK4001   260.40
GDK6004   249.66
GPK5003   324.11
GHN400E   320.32
GNN5009   353.77
GND6005   281.01
GND5009   308.92
GPN500B   400.62
GHD600d   280.18
GHN600K   293.17
GAH600c   298.15
GPH601d   363.29
GHH600M   291.79
GAH600b   301.84
GGH600p   310.71
GPH601c   306.63
GHH500M   277.08
GHD6005   266.46
GAH6008   280.18
GGH600M   291.79
GPH600a   298.15
GHD500A   264.11
GAH5008   278.65
GGH500A   290.94
GPH500H   330.33
GHD600c   280.87
GKO4000   216.90
GNK4001   298.20
GHK4002   241.40
GKO5003   221.82
GHK5009   244.75
GDK6001   228.01
GDK4001   220.31
GAK4002   244.81
GGK4003   263.81
GPK4002   367.50
GKK5000   246.33
GNK5003   308.92
GHK5003   264.11
GDK6003   250.35
GGK6004   280.87
GPK6003   320.04
GDK5002   248.35
GAK5002   266.14
GGK5002   280.68
GPK5002   365.12
GDK600K   268.04
GHH4005   260.40
GHU4006   216.90
GHU4000   216.90
GUO4000   123.34
GDO2000   173.95
GVK2001   438.27
GAO2000   215.33
GGO2000   244.69
GPO2000   481.20
GED3002   247.57
GHV3005   366.95
GHK3002   260.81
GNN500K   359.99
GHD500C   278.65
GAH500N   290.94
GGH500L   301.58
GPH500L   335.90
GNK4002   310.18
GDK4002   244.81
GAK4003   263.81
GPK4003   376.28
GGK600A   302.53
GPK600B   329.47
GKK5004   264.11
GNK5006   317.06
GHK5008   278.65
GAK6004   280.87
GGK6006   292.48
GPK6007   325.02
GDK5004   266.14
GAK5003   280.68
GGK5003   292.96
GPK5005   371.34
GHN300K   379.66
GNN400J   411.16
GHN400S   418.08
GAN500O   400.62
GGN500N   405.65
GPN500c   463.57
GPN600t   443.69
GND400A   357.37
GAN4008   367.50
GGN400B   376.28
GPN400D   474.94
GAN600p   325.02
GAH601F   329.47
GHN500l   324.11
GND600h   314.39
GAN600Q   320.04
GAN600o   360.99
GEH400A   279.34
GHH400S   336.84
GGH500a   310.97
GPH500s   340.93
GAH400B   279.34
GGH400R   292.47
GKO3001   213.73
GNK3001   351.93
GHK3000   240.24
GDK600I   266.46
GAK6005   280.18
GGK6007   291.79
GDK600A   249.66
GDK600J   267.15
GND600G   287.53
GAN6007   293.17
GPN600B   359.62
GNK5000   278.28
GHN500e   286.42
GND600A   281.01
GPN600Q   355.59
GND500B   308.92
GAN5006   317.06
GGN500D   324.11
GPN500L   400.62
GND600e   314.39
GPN600c   390.37
GHH500B   277.08
GGH600E   291.79
GPH601S   298.15
GHD500M   264.11
GPH501S   330.33
GNK4000   298.20
GHK4000   241.40
GDK600E   249.66
GGK6003   280.18
GPK6004   293.17
GDK6002   228.01
GDK4005   220.31
GAK4000   244.81
GGK4000   263.81
GPK4000   367.50
GDK600F   267.15
GPK6008   325.02
GHD600q   280.87
GPH602O   329.47
GKK5001   246.33
GNK5009   308.92
GHK5001   264.11
GDK6005   250.35
GAK6001   267.15
GGK6001   280.87
GPK6001   320.04
GDK5006   248.35
GPK5007   365.12
GDK3000   221.06
GAK3000   247.57
GGK3000   268.14
GPK3000   463.37
GED4005   268.62
GHK4004   279.34
GHN400W   376.28
GNK5004   317.06
GNN500W   395.05
GAN500P   365.12
GGN500O   371.34
GPN500d   455.07
GPN600u   437.40
GGH601a   311.40
GHN600Z   325.02
GGH601Y   319.33
GHH500w   290.94
GAH600i   292.48
GGH600w   302.53
GHD500N   280.68
GAH500g   292.96
GGH500o   303.61
GPH5018   376.91
GGH601Z   312.29
GKK4000   244.81
GNK4003   357.37
GHK4003   263.81
GHK5006   264.11
GDK4006   249.62
GAK4004   268.62
GGK4004   284.15
GPK4005   447.91
GDK600M   281.77
GAK6007   293.37
GGK6009   303.42
GPK600A   365.44
GND600p   356.01
GHD600s   293.37
GAH601G   303.42
GKK5003   266.14
GNK5008   358.07
GHK5007   280.68
GDK600G   268.04
GAK6003   281.77
GGK6005   293.37
GPK6006   360.99
GDK5007   268.99
GAK5005   283.53
GGK5005   295.82
GPK5008   433.61
GDK600L   283.02
GAK6006   294.63
GGK6008   304.68
GHH400a   279.34
GHU4004   244.81
GUK4000   185.78
GHH300f   260.81
GHU3003   213.73
GHU4009   244.81
GHU3004   213.73
GUO3000   112.46
GUD4002   185.78
GAU4001   220.31
GGU4001   244.81
GPU4001   357.37
GEN2000   461.90
GHN300d   431.92
GHH300b   335.52
GHN300a   379.66
GPH300E   514.90
GNN400E   363.07
GPN4007   418.08
GGN600x   380.85
GGN600w   415.85
GGH601d   383.76
GNN400C   427.30
GGN600b   335.76
GGN600a   377.72
GHN500i   332.79
GNN4008   403.42
GGN600m   407.72
GGN600h   394.05
GHH400m   293.85
GPH500h   370.59
GHN400M   320.32
GGH601U   366.68
GGH601S   333.50
GNN3004   411.22
GHN300C   311.81
GNN600J   370.66
GPH602N   380.85
GHN4006   274.94
GND600T   251.86
GND5003   268.65
GPN5007   359.99
GND4007   298.20
GPN4009   411.16
GGN600O   298.15
GGN600M   359.62
GND500M   308.92
GGN600N   325.02
GND3005   351.93
GGN3005   379.66
GPN3003   498.37
GNN400D   403.42
GPN500j   400.62
GGN600i   365.44
GHN400b   310.18
GNN500c   359.99
GGN500Q   422.55
GNN500I   353.77
GPN400B   486.47
GNN500k   463.96
GHN5014   429.25
GPN6011   445.69
GNN500l   460.41
GNN400I   482.78
