    3366  ! number of record (species) in the file
GGG3002   311.46
GPG3001   492.76
GGH5011   313.00
GGH600y   292.48
GGH500m   292.96
GPG500G   381.94
GGH6013   303.42
GGH400G   297.28
GPG400F   468.85
GGH500y   306.46
GGH400F   263.81
GGD600E   291.79
GGG600W   310.71
GGH6011   301.84
GGG600O   318.64
GGD6007   280.18
GGG6008   301.84
GGD5003   278.65
GGG5003   301.58
GPG5002   335.90
GGH601I   302.60
GGN6005   293.17
GGG6006   302.60
GPG600D   363.29
GGN5007   324.11
GPG500P   410.25
GGH500I   290.94
GGG500D   310.97
GGD6008   280.18
GGG600A   301.84
GPG600F   302.60
GGN600I   293.17
GGG600E   302.60
GGD6002   266.46
GPG6001   298.15
GGD5002   264.11
GGG5002   290.94
GPG5003   330.33
GGD600A   280.87
GGD4003   263.81
GGG4001   292.47
GPG4001   384.02
GGD6006   280.87
GGG6005   302.53
GPG600C   329.47
GGD5009   280.68
GGG600T   366.68
GGG600L   310.31
GPG6009   363.29
GGN5004   324.11
GPG500C   410.25
GGN600j   355.59
GGN500E   400.62
GGH500O   330.33
GGN600c   355.59
GGG600J   363.29
GGN6004   287.53
GPG600E   359.62
GGN5000   317.06
GPG500A   405.65
GGN600F   320.04
GGN4005   367.50
GGG4003   384.02
GPG4003   481.21
GPG600q   394.05
GEG4001   292.47
GGH600t   310.71
GGG600M   325.81
GPG600R   313.69
GGH601N   306.63
GGH600S   298.15
GPG600G   366.68
GGH601X   310.71
GGH601M   318.64
GGH600T   301.84
GPG600H   310.31
GGH500P   301.58
GGH600i   298.15
GPG600a   366.68
GGH600U   301.84
GGG600F   318.64
GPG600p   310.31
GGH6002   280.18
GPG6006   302.60
GGH5000   278.65
GGG5006   301.58
GPG5007   335.90
GGH600P   292.48
GGH4002   279.34
GGG4002   303.84
GPG4005   390.95
GGH600v   292.48
GPG600I   333.50
GPG500U   381.94
GPG600T   302.60
GPG600S   363.29
GGH600K   291.79
GGG6004   310.71
GPG6008   306.63
GGD6001   266.46
GGG6000   291.79
GPG6000   298.15
GGD5004   264.11
GGG500C   290.94
GPG5004   330.33
GGD600B   280.87
GGG600H   302.53
GPG600Q   329.47
GGG6007   298.15
GPG6007   359.62
GGG5005   330.33
GPG500K   405.65
GGH601Q   301.84
GPG600g   310.31
GGH600s   280.18
GGG6002   301.84
GPG6003   302.60
GGH5006   278.65
GGG5004   301.58
GPG5008   335.90
GGG6009   291.79
GPG600x   298.15
GGN600G   287.53
GGG600K   298.15
GPG600u   359.62
GPG600l   302.60
GGD6000   249.66
GGG6001   280.18
GPG6002   293.17
GGD5000   246.33
GGG5000   278.65
GPG5000   324.11
GGD6004   267.15
GGG600X   292.48
GGD4000   244.81
GGG4000   279.34
GPG4000   376.28
GGH600f   292.48
GPG600P   333.50
GGD6005   267.15
GGG6003   292.48
GPG6004   325.02
GGD5005   266.14
GGG500E   292.96
GPG5009   371.34
GGD600K   281.77
GGD3000   247.57
GGG3000   284.95
GPG3000   474.37
GEG4003   284.15
GGG600P   333.50
GGH600q   302.53
GGG600N   319.33
GGD5008   280.68
GPG500E   376.91
GGD600J   293.37
GGG600R   312.29
GGH601D   329.47
GPG600t   394.05
GGN5005   365.12
GGG5008   376.91
GGN600e   360.99
GGH601B   311.40
GPG600W   333.50
GGH500H   292.96
GGG5009   313.00
GPG500I   381.94
GGH6014   303.42
GGD600F   280.87
GGN600T   320.04
GGG600B   329.47
GPG600X   394.05
GGH600Q   292.48
GGG600C   311.40
GPG600Y   333.50
GGD6003   267.15
GPG6005   325.02
GGD5001   266.14
GGG5001   292.96
GPG5001   371.34
GGD6009   281.77
GGG600I   303.42
GPG600c   365.44
GGD4002   268.62
GGG4004   297.28
GPG4006   455.65
GGG600Q   303.42
GPG600r   365.44
GGD5007   283.53
GGG500A   306.46
GGD600I   294.63
GGH400S   292.47
GGH4003   263.81
GGU4000   220.31
GGD2000   263.30
GGG2000   304.68
GPG2000   728.31
GPG500R   381.94
GGN500M   371.34
GGD600G   292.48
GPG600A   329.47
GGD500B   280.68
GGD4008   284.15
GGD600M   303.42
GGH601b   312.29
GGD600C   293.37
GGD600L   304.68
GGN4009   447.91
GGG4009   462.58
GPG400C   584.13
GPG600M   337.17
GGG400C   318.68
GPG600i   329.47
GGD500A   266.14
GPG500D   371.34
GGD4006   268.62
GPG400D   455.65
GPG600Z   365.44
GGD3001   280.67
GGG3003   311.69
GPG3003   664.11
GPG600e   369.47
GPG600s   365.44
GGD500D   283.53
GPG500H   439.17
GGD4007   292.37
GGU4002   249.62
GGH300C   268.14
GGH3008   268.14
GGU3000   221.06
GGU4003   249.62
GPH300G   484.08
GEP3003   474.37
GPD600P   302.60
GPN600y   363.29
GPH602X   306.63
GPD500B   330.33
GPP500a   414.47
GPN600x   407.72
GPN500C   405.65
GPP500U   471.12
GPH602S   366.68
GPH602U   310.31
GPH500O   335.90
GPP500X   418.39
GPD600N   298.15
GPN600Y   359.62
GPH601O   302.60
GPD5004   324.11
GPD4004   376.28
GPP4006   486.93
GPH602W   333.50
GPD500A   371.34
GPN600q   394.05
GPN500T   463.57
GPP500Z   524.00
GPN600o   443.69
GPH500y   410.25
GPP500Y   474.53
GPH602L   397.43
GPN500F   400.62
GPP500A   467.48
GPN600b   390.37
GPN400C   474.94
GPP400B   568.24
GPN500U   455.07
GPN600p   437.40
GEP400A   390.95
GPH501R   335.90
GPH501O   340.93
GPP600h   372.72
GPH500R   330.33
GPP500H   414.47
GPP600f   400.56
GPH400I   384.02
GPP4005   492.19
GPD600F   298.15
GPP600k   366.68
GPD500C   324.11
GPP500b   410.25
GPP600b   410.63
GPP600a   449.17
GPN500W   400.62
GPP500S   467.48
GPP600P   369.81
GPP600M   413.36
GPP600N   372.72
GPH500S   330.33
GPP500W   414.47
GPP600O   400.56
GPD600H   293.17
GPP600C   366.68
GPD5001   317.06
GPP600D   394.05
GPD4001   367.50
GPP600Y   397.43
GPN600k   390.37
GPP600U   446.60
GPP600W   400.56
GPD500F   365.12
GPD600L   360.99
GPP600X   440.78
GPD3002   463.37
GPP3004   628.49
GPD600O   329.47
GPD500I   371.34
GPD600Q   365.44
GPN500a   455.07
GPH5019   376.91
GPD5009   365.12
GPP500E   459.67
GPD4006   447.91
GPP400A   584.13
GPD500H   433.61
GEP3002   620.64
GPN6016   446.60
GPN500G   400.62
GPN500R   463.57
GPN500o   517.39
GPH501a   467.48
GPH602P   407.72
GPN500h   459.34
GPN400F   558.10
GPP4007   655.75
GPN500m   525.83
GEP4008   486.93
GPH501L   405.65
GPP500F   471.12
GPH400g   481.21
GPP4008   572.77
GPH602Q   394.05
GPN600G   355.59
GPN6012   443.88
GPN500f   459.34
GPP600l   410.63
GPN500P   395.05
GPN4003   468.02
GPN600N   386.34
GPN500b   450.04
GPN3002   611.96
GPP3002   791.79
GPN500e   450.04
GPN600v   433.72
GPN400E   572.14
GPN500n   539.56
GEP3000   484.08
GPH600X   298.15
GPH500I   330.33
GPH400X   384.02
GPH500n   410.25
GPH501U   414.47
GPH601g   359.62
GPH501D   405.65
GPH400H   481.21
GEP4004   397.21
GPH501W   345.53
GPH601G   302.60
GPH500o   335.90
GPH400T   390.95
GPP400C   497.06
GPH600e   298.15
GPH501Q   405.65
GPH500m   335.90
GPP500M   418.39
GPH601H   293.17
GPH5007   324.11
GPH400C   376.28
GPH601F   325.02
GPH501G   371.34
GPH3002   474.37
GPP3001   635.66
GPH602Z   369.47
GPH501H   459.67
GPH501I   381.94
GPH6026   333.50
GPH601P   325.02
GPH500e   371.34
GPH601t   365.44
GPH400Q   455.65
GPH501J   439.17
GPH400c   384.02
GPH400L   367.50
GEP4007   376.28
GPN600j   359.62
GPD6007   293.17
GPP6007   363.29
GPD5006   324.11
GPP5008   410.25
GPD600E   325.02
GPN600X   359.62
GPN600U   404.58
GPP600p   449.17
GPH601R   363.29
GPP600d   413.36
GPN6004   355.59
GPP6004   407.72
GPN500H   400.62
GPP500T   467.48
GPN600W   390.37
GPH601n   302.60
GPH602C   363.29
GPH601U   306.63
GPH600R   298.15
GPP6005   366.68
GPH500P   330.33
GPP500R   414.47
GPH601W   329.47
GPN600T   355.59
GPP600G   407.72
GPH600S   298.15
GPP600F   366.68
GPD6002   287.53
GPD5003   317.06
GPP5009   405.65
GPD6009   320.04
GPD4003   367.50
GPP4001   481.21
GPD6006   320.04
GPP6006   394.05
GPD500E   365.12
GPP500Q   459.67
GPD600D   360.99
GEP4006   474.94
GPN5008   400.62
GPN500M   459.34
GPP500N   520.80
GPP600H   410.63
GPH500X   405.65
GPP500O   471.12
GPN600M   355.59
GPN600L   401.20
GPP600Z   446.60
GPH601E   359.62
GPP600c   410.63
GPN6005   351.14
GPN5000   395.05
GPP5005   463.57
GPN600J   386.34
GPN4005   468.02
GPP4003   563.36
GPN500X   450.04
GPP500P   529.75
GEP4001   384.02
GPH6029   306.63
GPH600b   298.15
GPH6027   366.68
GPH600p   359.62
GPH6028   310.31
GPH600q   302.60
GPP600I   369.81
GPH500Y   335.90
GPP500G   418.39
GPH600s   359.62
GPH600t   302.60
GPP600K   369.81
GPH600H   293.17
GPH5000   324.11
GPP5006   410.25
GPH600u   325.02
GPH4002   376.28
GPP4002   486.93
GPH600r   325.02
GPH501A   371.34
GPP500K   463.90
GPP600m   363.29
GPH600T   298.15
GPP600E   366.68
GPD6001   287.53
GPP6000   359.62
GPD5005   317.06
GPP5004   405.65
GPD6008   320.04
GPP600o   410.63
GPP600B   404.58
GPN5001   395.05
GPP5001   463.57
GPH601w   302.60
GPP600L   369.81
GPH600W   293.17
GPP6002   363.29
GPH5001   324.11
GPP5002   410.25
GPP600A   359.62
GPP6008   404.58
GPH600O   293.17
GPP6009   363.29
GPD6000   281.01
GPP6001   355.59
GPD5000   308.92
GPP5000   400.62
GPD6004   314.39
GPP600i   390.37
GPD4000   357.37
GPP4000   474.94
GPH601T   325.02
GPP600T   397.43
GPD6005   314.39
GPP6003   390.37
GPD5008   358.07
GPP5003   455.07
GPD600G   356.01
GPD3000   450.67
GPP3000   620.64
GEP4005   447.91
GPH6023   329.47
GPD500D   365.12
GPD600J   360.99
GPN600i   440.55
GPH6021   394.05
GPN600I   386.34
GPP600j   443.69
GPN5009   450.04
GPP500B   529.75
GPN600h   433.72
GPH6022   333.50
GPH602A   325.02
GPP600J   397.43
GPH500E   371.34
GPP500C   463.90
GPH601o   365.44
GPN600K   386.34
GPP600Q   443.69
GPH600v   325.02
GPP600R   397.43
GPD6003   314.39
GPD5002   358.07
GPP5007   455.07
GPD600A   356.01
GPP600S   437.40
GPD4002   439.13
GPP4004   578.41
GPN600z   433.72
GPD600C   356.01
GPP600n   437.40
GPD5007   427.39
GPP500D   544.16
GPD600I   415.60
GPH4009   367.50
GPH400h   367.50
GPU4000   345.38
GPD2000   697.85
GPP2000     0.00
GEP3001   654.41
GPN600l   390.37
GPD4007   447.91
GPN500S   450.04
GPN600s   433.72
GPP4009   722.30
GEP4009   462.58
GPH400K   455.65
GPP400D   589.39
GPP500I   529.75
GPP500J   463.90
GPD600B   320.04
GPP600g   397.43
GPD500J   358.07
GPD600K   356.01
GPP600e   437.40
GPD4005   439.13
GPD600M   356.01
GPP500L   544.16
GPD3001   643.40
GPP3003     0.00
GPD500G   427.39
GPH3009   463.37
GPH3008   463.37
GPU3000   435.64
GHH2001   244.69
GHU2000   173.95
GU02000    34.98
GXU2000   121.81
END 
