3.7E+00  1.4E+08  1.0E-01  GHN300N 
3.3E+00  2.4E+08  1.0E-01  GHN300W 
3.2E+00  6.9E+06  1.0E-01  GHN3005 
3.0E+00  2.9E+05  0.0E+00  GND3004 
3.3E+00  1.0E+06  1.0E-01  GGN3006 
3.7E+00  3.8E+03  1.0E-01  GPN3006 
3.3E+00  4.1E+09  1.0E-01  GHN300G 
3.1E+00  2.0E+11  0.0E+00  GND3006 
2.9E+00  4.0E+09  1.0E-01  GHD300C 
3.6E+00  2.3E+07  1.0E-01  GPH300S 
3.3E+00  6.7E+10  1.0E-01  GHN300X 
3.9E+00  4.2E+07  1.0E-01  GPH300P 
3.0E+00  8.6E+10  1.0E-01  GHH300W 
3.3E+00  1.3E+11  1.0E-01  GGH300E 
3.7E+00  4.9E+08  1.0E-01  GPH300Q 
2.7E+00  8.2E+07  1.0E-01  GHD3006 
3.0E+00  6.9E+08  1.0E-01  GGH300B 
3.4E+00  2.6E+06  1.0E-01  GPH300C 
2.6E+00  2.5E+08  1.0E-01  GHD2002 
2.9E+00  5.9E+07  1.0E-01  GGH2003 
3.3E+00  2.3E+05  1.0E-01  GPH2003 
2.9E+00  7.6E+12  1.0E-01  GHD300B 
3.5E+00  7.5E+09  1.0E-01  GPH300R 
3.3E+00  5.5E+09  1.0E-01  GHN300P 
2.9E+00  4.0E+09  1.0E-01  GHD300A 
2.6E+00  4.1E+08  1.0E-01  GHV2002 
3.0E+00  5.4E+05  0.0E+00  GNV3002 
2.8E+00  2.2E+08  1.0E-01  GHV3001 
2.6E+00  3.8E+06  0.0E+00  GDV3001 
2.9E+00  3.3E+07  1.0E-01  GGV3001 
3.3E+00  1.3E+06  1.0E-01  GPV3001 
2.4E+00  3.1E+07  0.0E+00  GDV2001 
2.6E+00  1.9E+07  0.0E+00  GAV2001 
2.8E+00  7.5E+06  1.0E-01  GGV2001 
3.2E+00  1.1E+05  1.0E-01  GPV2001 
2.9E+00  1.9E+10  1.0E-01  GHV3004 
2.7E+00  3.5E+11  0.0E+00  GDV3003 
2.3E+00  2.2E+10  1.0E-01  GHO2003 
2.5E+00  8.8E+09  1.0E-01  GHO3007 
2.1E+00  6.5E+08  0.0E+00  GDO2001 
2.4E+00  4.0E+08  1.0E-01  GGO2001 
2.9E+00  6.1E+06  1.0E-01  GPO2001 
2.6E+00  2.1E+11  1.0E-01  GHK3003 
3.3E+00  3.3E+08  0.0E+00  GNN3009 
3.5E+00  2.4E+12  0.0E+00  GNN400K 
2.8E+00  4.7E+07  1.0E-01  GHN2004 
2.9E+00  2.5E+07  1.0E-01  GHN300M 
2.7E+00  4.0E+05  0.0E+00  GND3007 
3.4E+00  1.5E+05  1.0E-01  GPN3007 
2.6E+00  2.8E+06  0.0E+00  GND2001 
2.9E+00  8.7E+05  1.0E-01  GGN2001 
3.3E+00  1.3E+04  1.0E-01  GPN2001 
3.0E+00  1.8E+09  1.0E-01  GHN300c 
2.9E+00  2.9E+10  0.0E+00  GND300A 
2.6E+00  1.9E+10  1.0E-01  GHD3008 
2.9E+00  7.6E+10  1.0E-01  GGH300I 
3.3E+00  7.8E+08  1.0E-01  GPH300L 
3.0E+00  1.2E+11  1.0E-01  GHN300Q 
3.3E+00  5.2E+10  1.0E-01  GGH300F 
3.7E+00  5.3E+08  1.0E-01  GPH300I 
2.8E+00  1.5E+11  1.0E-01  GHH300Q 
3.1E+00  6.0E+11  1.0E-01  GGH300G 
3.5E+00  6.2E+09  1.0E-01  GPH300J 
2.4E+00  1.2E+08  1.0E-01  GHD3005 
2.8E+00  2.5E+09  1.0E-01  GGH3009 
3.2E+00  2.5E+07  1.0E-01  GPH300A 
2.3E+00  2.4E+08  1.0E-01  GHD2001 
2.6E+00  6.7E+08  1.0E-01  GGH2001 
3.1E+00  2.5E+06  1.0E-01  GPH2001 
2.6E+00  1.2E+12  1.0E-01  GHD3007 
2.9E+00  9.9E+11  1.0E-01  GGH300H 
3.3E+00  8.0E+09  1.0E-01  GPH300K 
3.0E+00  1.1E+09  1.0E-01  GHN300T 
3.3E+00  1.9E+09  1.0E-01  GGH300L 
3.7E+00  7.2E+06  1.0E-01  GPH300O 
3.4E+00  7.0E+09  1.0E-01  GHN300R 
3.7E+00  1.3E+09  1.0E-01  GGH300D 
4.0E+00  4.9E+06  1.0E-01  GPH300D 
3.7E+00  5.2E+13  1.0E-01  GHN400c 
3.2E+00  9.1E+09  1.0E-01  GHH300R 
3.5E+00  1.5E+10  1.0E-01  GGH300J 
3.8E+00  5.7E+07  1.0E-01  GPH300M 
2.9E+00  8.5E+06  1.0E-01  GHN3007 
3.2E+00  7.9E+07  1.0E-01  GGH300A 
3.6E+00  2.9E+05  1.0E-01  GPH300B 
